BugType,InjectedBugs,FalseNegatives,MisClassified,UnDetected
Re-entrancy,1343,1343,0,1343
Timestamp-Dependency,1381,1381,0,1381
Unhandled-Exceptions,1374,1374,0,1374
TOD,1336,1336,0,1336
Overflow-Underflow,1333,1333,0,1333
